Date,Close,Company,Open,High,Low,Adj Close,Volume
12/06/20,1588.800049,RELIANCE.NS,1500.0,1593.0,1497.0,1577.781128,17790311.0
15/06/20,1614.550049,RELIANCE.NS,1565.0,1626.949951,1561.099976,1603.352539,24509058.0
16/06/20,1617.699951,RELIANCE.NS,1643.0,1648.550049,1585.300049,1606.480469,23622794.0
17/06/20,1615.349976,RELIANCE.NS,1608.25,1635.449951,1602.099976,1604.146851,19282411.0
18/06/20,1655.900024,RELIANCE.NS,1607.0,1665.0,1605.599976,1644.415771,18677617.0
19/06/20,1759.400024,RELIANCE.NS,1670.0,1788.800049,1662.0,1747.197876,48828609.0
22/06/20,1746.150024,RELIANCE.NS,1773.400024,1804.199951,1735.0,1734.039795,27781693.0
23/06/20,1720.900024,RELIANCE.NS,1750.0,1763.75,1716.099976,1708.964966,17519493.0
24/06/20,1727.849976,RELIANCE.NS,1735.900024,1772.699951,1711.699951,1715.866699,23807033.0
25/06/20,1717.900024,RELIANCE.NS,1727.0,1749.0,1713.050049,1705.985718,18312025.0
26/06/20,1741.650024,RELIANCE.NS,1728.800049,1752.0,1717.0,1729.571045,14270458.0
29/06/20,1723.150024,RELIANCE.NS,1728.050049,1739.75,1715.550049,1711.199341,11824524.0
30/06/20,1704.099976,RELIANCE.NS,1737.0,1741.0,1695.550049,1692.281372,13972563.0
01/07/20,1737.599976,RELIANCE.NS,1720.0,1749.0,1708.050049,1725.549072,13136179.0
02/07/20,1760.349976,RELIANCE.NS,1743.0,1767.599976,1735.050049,1754.7052,13286365.0
03/07/20,1787.900024,RELIANCE.NS,1779.800049,1793.0,1768.0,1782.16687,13583909.0
06/07/20,1851.800049,RELIANCE.NS,1805.0,1858.0,1792.099976,1845.862061,21697962.0
07/07/20,1823.449951,RELIANCE.NS,1860.0,1864.349976,1806.300049,1817.602905,16239990.0
08/07/20,1798.0,RELIANCE.NS,1824.050049,1834.949951,1790.0,1792.234497,12093186.0
09/07/20,1824.25,RELIANCE.NS,1809.0,1835.0,1786.25,1818.400391,16807336.0
10/07/20,1878.050049,RELIANCE.NS,1828.5,1884.599976,1824.25,1872.027832,20195218.0
13/07/20,1935.0,RELIANCE.NS,1903.349976,1947.699951,1900.0,1928.795166,32124262.0
14/07/20,1917.0,RELIANCE.NS,1934.0,1941.699951,1887.300049,1910.852905,31073305.0
15/07/20,1844.0,RELIANCE.NS,1937.949951,1978.800049,1798.0,1838.087036,64457578.0
16/07/20,1843.400024,RELIANCE.NS,1847.0,1869.0,1812.449951,1837.489014,28133826.0
17/07/20,1911.699951,RELIANCE.NS,1845.0,1920.0,1838.0,1905.569824,22948894.0
20/07/20,1919.900024,RELIANCE.NS,1917.800049,1932.0,1899.650024,1913.743652,16887635.0
21/07/20,1971.550049,RELIANCE.NS,1939.0,1977.0,1936.5,1965.228027,19463004.0
22/07/20,2004.0,RELIANCE.NS,1983.0,2010.0,1960.699951,1997.573975,27584518.0
23/07/20,2057.800049,RELIANCE.NS,2003.949951,2079.699951,1991.349976,2051.201416,26921017.0
24/07/20,2146.149902,RELIANCE.NS,2058.0,2163.0,2057.800049,2139.268066,55655668.0
27/07/20,2156.199951,RELIANCE.NS,2178.800049,2198.800049,2127.899902,2149.285889,37060665.0
28/07/20,2177.699951,RELIANCE.NS,2156.199951,2194.0,2150.649902,2170.716797,25435297.0
29/07/20,2096.649902,RELIANCE.NS,2177.899902,2182.800049,2070.449951,2089.926758,33534147.0
30/07/20,2108.850098,RELIANCE.NS,2099.0,2139.699951,2072.0,2102.087891,33623699.0
31/07/20,2067.100098,RELIANCE.NS,2114.5,2129.0,2052.800049,2060.47168,34593133.0
03/08/20,2009.0,RELIANCE.NS,2051.300049,2057.0,2003.099976,2002.557861,21559142.0
04/08/20,2150.600098,RELIANCE.NS,2020.599976,2167.0,2000.25,2143.703857,42476932.0
05/08/20,2126.449951,RELIANCE.NS,2169.0,2196.0,2118.300049,2119.631348,34404810.0
06/08/20,2134.100098,RELIANCE.NS,2157.0,2167.699951,2107.800049,2127.256836,22762545.0
07/08/20,2146.449951,RELIANCE.NS,2129.800049,2157.800049,2120.199951,2139.567139,15222303.0
10/08/20,2119.850098,RELIANCE.NS,2159.100098,2165.0,2108.100098,2113.05249,12441573.0
11/08/20,2133.800049,RELIANCE.NS,2134.800049,2160.0,2100.350098,2126.957764,21611256.0
12/08/20,2127.600098,RELIANCE.NS,2121.0,2145.0,2106.800049,2120.777832,13967116.0
13/08/20,2122.050049,RELIANCE.NS,2128.0,2138.899902,2110.0,2115.245361,11459190.0
14/08/20,2113.800049,RELIANCE.NS,2122.550049,2157.0,2089.25,2107.021973,15333164.0
17/08/20,2091.350098,RELIANCE.NS,2105.0,2105.0,2070.100098,2084.644043,14296834.0
18/08/20,2118.550049,RELIANCE.NS,2085.0,2134.300049,2082.350098,2111.756592,14097746.0
19/08/20,2131.550049,RELIANCE.NS,2141.0,2154.0,2121.350098,2124.715088,15731396.0
20/08/20,2097.050049,RELIANCE.NS,2120.0,2123.899902,2088.0,2090.325684,10401212.0
21/08/20,2081.850098,RELIANCE.NS,2118.0,2122.0,2077.0,2075.174316,11667129.0
24/08/20,2095.75,RELIANCE.NS,2091.399902,2104.5,2070.5,2089.029785,15098991.0
25/08/20,2082.100098,RELIANCE.NS,2106.0,2111.300049,2078.0,2075.423584,8947563.0
26/08/20,2137.300049,RELIANCE.NS,2085.0,2147.949951,2047.0,2130.446533,27630190.0
27/08/20,2110.600098,RELIANCE.NS,2148.0,2150.0,2103.25,2103.832275,12961252.0
28/08/20,2116.149902,RELIANCE.NS,2120.0,2132.899902,2106.25,2109.364258,12537520.0
31/08/20,2080.699951,RELIANCE.NS,2174.0,2174.0,2060.350098,2074.028076,28648125.0
01/09/20,2087.25,RELIANCE.NS,2100.0,2122.399902,2062.399902,2080.556885,17821397.0
